sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta
0.01,0.017,0.009,20,True,0,1,1.3187696481728604,2.023473991003793e-05,-0.022617864509926287,-0.002886598282347572,0.00044799915094466424
0.01,0.017,0.009,20,False,0,3,535.7209315434204,2.010013171479644e-05,-0.15090369642690418,0.003910075179284144,-0.015605583894528987
0.01,0.017,0.009,20,False,0,6,536.3487891869783,2.0100051095411868e-05,-0.15227628620164488,0.001100065197650463,-0.015650230059648978
0.01,0.017,0.009,20,True,1,2,1.4410915249156517,2.0272626449803264e-05,-0.005845660809321739,-0.0043440567542103,-0.00018770301595381366
0.01,0.017,0.009,20,False,3,0,373.05783016383737,2.0100096187796986e-05,-0.14873593928896134,-0.0031978630595289287,0.003305794691216359
0.01,0.017,0.009,20,True,3,4,1.4613529460347148,2.02384457526257e-05,-0.02085026994286716,-0.0011776642902729196,1.1703966181253105e-05
0.01,0.017,0.009,20,False,3,6,375.9941007837944,2.0100062083973403e-05,-0.1474507478929026,-0.0011031891782799248,0.0033742400804314867
0.01,0.017,0.009,20,True,4,5,1.910160044449175,2.0290417852995772e-05,0.0013163182591600692,-0.0068067959811827445,0.00015184978841559015
0.01,0.017,0.009,20,False,6,0,473.93209685589943,2.0100019472044935e-05,-0.1488690931640554,-0.0011412692867967982,0.020624838507074472
0.01,0.017,0.009,20,False,6,3,470.5363379348143,2.0100043922648485e-05,-0.15142977871843688,0.0018663151296940904,0.02073783297774289
0.01,0.017,0.009,20,True,6,7,1.4160341654219908,2.0240103552495005e-05,-0.020104098515373252,0.002799623370504083,-0.0001890236263325988
0.01,0.017,0.009,20,True,0,1,1.354008921922174,2.0233183650941217e-05,-0.023340308320296235,-0.002086758270741445,0.00037698975068143015
